id_municipio,id_uf,meta_alvo,taxa_base,media_portugues_base,gap_base_meta,uf,regiao,prob_risco_abaixo_meta_2025,pred_risco_abaixo_meta_2025,faixa_risco
2111953,21,76.78,80.65,764.21,3.8700000000000045,MA,Nordeste,0.7458285610380848,1,Alto
3137106,31,80.0,56.25,746.86,-23.75,MG,Sudeste,0.7457801025914567,1,Alto
3530300,35,71.53,61.57,754.17,-9.96,SP,Sudeste,0.7449337868834546,1,Alto
4104808,41,80.0,74.34,757.87,-5.659999999999997,PR,Sul,0.7447728746597279,1,Alto
3301504,33,65.98,64.16,742.98,-1.8200000000000074,RJ,Sudeste,0.7446671880634851,1,Alto
4125456,41,80.0,74.36,757.91,-5.640000000000001,PR,Sul,0.744410263477331,1,Alto
1720937,17,63.74,55.56,752.27,-8.18,TO,Norte,0.7439024319766784,1,Alto
2200053,22,80.0,81.89,771.9,1.8900000000000006,PI,Nordeste,0.7437766144096963,1,Alto
4125308,41,80.0,70.73,760.73,-9.269999999999996,PR,Sul,0.7437175148108554,1,Alto
2801900,28,55.66,54.53,735.07,-1.1299999999999955,SE,Nordeste,0.7436428100571646,1,Alto
4112108,41,77.88,68.64,754.64,-9.239999999999995,PR,Sul,0.7436159160270194,1,Alto
1501253,15,53.57,47.37,731.72,-6.200000000000003,PA,Norte,0.7434905299127754,1,Alto
1716109,17,66.87,63.45,757.84,-3.4200000000000017,TO,Norte,0.7429134914019493,1,Alto
2608057,26,77.29,68.05,755.57,-9.240000000000009,PE,Nordeste,0.7426397560800264,1,Alto
1506203,15,55.04,50.44,734.87,-4.600000000000001,PA,Norte,0.7426368612528974,1,Alto
2105005,21,67.55,59.22,747.4,-8.329999999999998,MA,Nordeste,0.7422051056391328,1,Alto
3305752,33,63.44,54.46,741.42,-8.979999999999997,RJ,Sudeste,0.7422019775157911,1,Alto
3306305,33,66.58,63.25,746.21,-3.3299999999999983,RJ,Sudeste,0.7421592282835344,1,Alto
1503309,15,50.18,41.34,724.19,-8.839999999999996,PA,Norte,0.7420170187248959,1,Alto
2202711,22,71.49,59.56,758.1,-11.929999999999993,PI,Nordeste,0.7419158495864506,1,Alto
